	asin	product_name	helpful	rating	title	date	reviewer	reviewer_location	review_text	Class
0	 0375416811	 Щоденник Бріджит Джонс: Книги: Хелен Філдінг, Трейсі Беннет	 	 5.0	 Засновник Чик-літ	 24 серпня 2006 р	" Ерін Оукс ""завзятий читач"""	 Центральна ПА	" Бріджит Джонс, сучасна жінка, блискуча і не знає цього, схильна до нещасних випадків та безладів, але їм вдається вийти з них.

Це книга, яка розпочала все з лихоманки, що запалюється. Бріджит Джонс - мій герой!"	pos
1	 188105201X	 Лідерство та нова наука: вивчення організації з упорядкованого Всесвіту: Книги: Маргарет Дж. Уітлі	 3 з 3	 5.0	 Чудовий ресурс для директорів!	 6 липня 1999 р	 ONICKRE@mail.milwaukee.k12.wi.us	 Мілуокі, штат Вісконсін	 Я замовляю копії для всіх 23 директорів середніх шкіл та двох помічників директорів, які ведуть дві програми середньої школи в системі державних шкіл Мілуокі. Ми використовуватимемо книгу Вітлі як основний ресурс для нашого професійного зростання в нашому спільному інституті керівників середньої школи MPS 9-11 серпня 1999 р. Ми не просто зацікавлені в реформах; ми також прагнемо оновлення. Вітлі забезпечує основу. Вона зазначає, що Ейнштейн сказав, що проблему не можна вирішити з тієї самої свідомості, яка її створила. Вся книга є дивовижним дослідженням цієї філософії	pos
2	 0634079190	 Avenue Q - мюзикл (аранжування на фортепіано / вокал): Книги: Роберт Лопес, Джефф Маркс	 	 5.0	 Забавно грати	 15 вересня 2005 р	 Майкл П. Нолан	 Таллахассі, Флорида, США	" Як випадковий гравець на фортепіано та фанат на Бродвеї, я був так захоплений, щоб відтворити деякі пісні з Avenue Q. Книга містить все, що ви знайдете на компакт-диску, і містить кілька виробничих фотографій.
Звичайно, маленькі деталі веселі, використовуючи такі терміни, як ""манілоуескі"", ""перетасування Хьюї-Льюїса"", ""пріссі-соната"" та ""фанк-а ** грув"", щоб описати деякі пісні. Весела весела фу"	pos
3	 0786423668	 Кей Френсіс: пристрасне життя та кар'єра: Книги: Лінн Кір, Джон Росман	 12 з 12	 5.0	 Яка красуня!	 16 травня 2006 р	 Елізабет М. Хілл	 Декатур, Джорджія США	 Це одна з найкращих біографій, яку я коли-небудь читав. Можна сказати, що автори вкладають багато часу та зусиль у цю роботу - це справжня праця любові. Цей, наповнений прекрасними фотографіями та великими бібліографічними примітками, є хранителем. Хто знав, що міс Френсіс була такою «дикою дитиною»? Незалежно від того, кинолог ви чи любитель кіно, книга Лінн Кір заслуговує на особливе місце у вашій книжковій шафі.	pos
4	 1563523302	 Міліонер по сусідству: Дивовижні таємниці заможних Америки: Книги: Томас Дж. Стенлі, Томас Дж. Стенлі, доктор філософії, Вільям Д. Данко, доктор філософії	 5 з 6	 5.0	 Чудова стратегія + здоровий глузд	 22 вересня 2006 р	" Емі-Джой Перроне ""AJ"""	 Шаумбург, Іллінойс	 Я читав цю книгу багато-багато років тому в дуже довгому польоті. Я не міг його відкласти. Філософія проста; живіть економно, заощаджуйте / вкладайте гроші щомісяця, і ви теж можете стати мільйонером. Це чудова порада, особливо в наші дні, коли молоде покоління хоче великий будинок, дорогу машину та все інше прямо зараз, не зважаючи на майбутнє. Хоча частина інформації датована (Енрон названий чудовою компанією для інвестування), а деякі інші поради (надіти нові підошви на старе взуття) трохи, загальне повідомлення має багато сенсу.	pos
5	 1400131464	 Тварини в перекладі: Використання таємниць аутизму для декодування поведінки тварин: Книги: Темпл Грандін, Кетрін Джонсон, Шеллі Фрейзер	 5 з 6	 4.0	 Дуже, дуже цікаво	 28 серпня 2006 р	" Керрі Гілдер ""redgilder"""	 Ліга Сіті, Техас США	" Ця книга була чужим вибором книжкового клубу, і я думаю, що відсутність сподівань, коли я взяв її, справді допомогло в моєму досвіді WOW, про який деякі люди повідомляють з цією книгою, а інші сумують. Так, проза потребувала набагато кращого монтажу: зловживання повторенням, ""запасні"" фрази та ""висячі"" твердження, які слід було очистити. Однак я знайшов обговорення розвитку / еволюції мозку, схожості між деякою поведінкою тварин та поведінкою людей, розвитком мови у різних тварин та коеволюцією людей та собак, щоб вони були захоплюючими (ой, просто віддали кінець!). Мені здалося, що побічне обговорення аудитів, що базуються на результатах, було цікавим та просвітницьким. Мені також сподобалася рекомендація доктора Темпла, щоб людей, які страждають на аутизм, наймали на місця перевірки багажу. Чудова ідея! Хоча книга справді всюди, але я знайшов це чудову можливість залучити свою мотивацію ""шукати / полювати"" (для цього доведеться прочитати книгу) і варто пробиратися через вади, щоб забрати самородки золота"	pos
6	 0674518586	 Лідерство без простих відповідей: Книги: Рональд Хейфец	 1 з 1	 5.0	 Найкраща книга про керівництво, яку я прочитав	 15 квітня 2006 р	 Сара А. Барнабі	 Міннесота	 Я вивчаю лідерство понад 15 років як за читанням, так і за досвідом. Я вважаю цю книгу найкращою книгою, яку я прочитав, оскільки вона описує лідерство як навчену діяльність. У ньому також сказано, що керівництво полягає у спонуканні людей робити власну роботу у вирішенні складних проблем. Я виявив, що як Президент мого збору я постійно повертався до понять у цій книзі, щоб провадити її через дуже складну ситуацію, пов’язану з розміщенням прапорів у святині. Було дуже важко змусити людей робити власну роботу і не намагатися втрутитися, щоб вирішити все. (Це все одно було б неможливо). Я виявив, що він описав президента Ліндона Джонсона як успішного лідера (громадянські права) та невдалого лідера (В'єтнам). Його обговорення питання про лідерство без авторитету є для мене новим грунтом. Якщо ви хочете обговорити книгу з іншими, на веб-сайті Інституту праці та поклоніння є онлайн-дослідження книги. Я виявив, що це хороший спосіб отримати більше від книги. Це чудова книга з чудовими історіями різних лідерів нашого суспільства.	pos
7	 0670914568	 Хвостові шарлі: Останні бої бомбардувальної війни, 1944-45: Книги: Джон Нікол	 5 з 5	 5.0	 Чудова книга про стратегічні бомбардування Другої світової війни.	 19 серпня 2006 р	" Джон Метлок ""Ганні"""	 Віннемукка, Невада	" Найкраща книга з історії Другої світової війни, яку я читав за довгий час.

Заголовок має три значення:

1. Це може стосуватися навідника в задній частині бомбардувальника. Британці називали цих людей ""тиловими стрільцями"". Янки використовували термін ""Хвостовий навідник"". Це найнебезпечніше положення в літаку.

2. Остання площина в пласті. Це було більше вірно в американській бойовій скриньці, ніж у британських звичаях. Цю позицію важко утримати, оскільки вона знаходиться в кінці струни, і кожен хід свинцевого корабля поширюється нерегулярно через пласт. Це також небезпечніше, оскільки ворожі винищувачі можуть легше атакувати цей корабель, оскільки не так багато гармат, що вказують у цьому напрямку.

3. Це може стосуватися бомбардувальних місій ближче до кінця війни.

Ця чудова книга охоплює всі ці три значення. Крім того, він чудово обговорює силу та значення повітряних сил у поразці Німеччини"	pos
8	 0849944376	 Поклик: пошук і виконання центральної мети вашого життя: Книги: Ос Гіннес	 	 5.0	 Запропонує глибоко подумати, по-іншому, а потім діяти.	 15 лютого 2006 р	 Кармагольд	 Техас	" *** ПОСИЛАННЯ НА ЗАПИС КД ****

Взявши та відклавши книгу незліченну кількість разів, я нарешті прослухав це на компакт-диску. Час і увага, яких я не мав для друкованої версії, легко потрапили на аудіозапис.

Гінес - привабливий та захоплений оратор, який повністю володіє своїм предметом. Він спирається на основоположні християнські істини, історичні та сучасні посилання, анекдоти та тверду ділову хватку. Він звичайно розмежовує, що щось є, а що не (наприклад, покликання, покликання, здача) в однозначних термінах. Крім того, він послідовно зазначає, що основною причиною нашого існування є прославлення Бога; все інше у його презентації просто пов'язує цю істину. Він пояснює, як ми відволікаємось, як ставляться до інших і як ми можемо виправити свій шлях, знову подаючи приклади. І на відміну від тенденції християнства Lite в Америці, яка часто сприяє багатству без праці та відповідальності, Гіннес чітко висловлюється про жертви, властиві християнському життю, використовуючи, наприклад, життя Леонідаса, Св. Франциска та Бонхоффера. Він також говорить про радості справді зосередженого на житті життя.

Я рекомендую ВИКЛИК кожному, хто слухає їхній власний дзвінок. Це допоможе вам розрізнити покликання та виконання бажань / фантазію, познайомить вас з іншими, хто почув їхній заклик, та надихне вас діяти. Якщо ви вже чули і відповідали на ваш дзвінок, ви впізнаєте Гіннеса як попутника.

Ця 3-годинна презентація була записана у прямому ефірі у пресвітеріанській церкві Хайленд Парк у Далласі, штат Техас, США. Запис включає 3 сеанси запитань та відповідей для аудиторії приблизно по 10 хвилин кожен. Вони були настільки ж інформативними, як і основна презентація, часто відображаючи ті самі запитання, які я мав під час слухання.

Запис був виготовлений Wpublishinggroup.com в Нешвіллі, штат Теннессі, США"	pos
9	 1594200637	 Про красу: Книги: Заді Сміт	 0 з 1	 5.0	 Расизм і зрада	 9 листопада 2006 р	 поціновувач15	 Сан-Франциско, Каліфорнія	" Заді Сміт - одна з наймогутніших авторок, яку я читала останнім часом. Вона настільки тонка щодо фактора раси, що ми не можемо з’ясувати раси головних героїв до перших 50 сторінок або близько того. Вона також чудово вразила емоції Кікі та Зори (чому жінки завжди виділяються в емоційні моменти!), А герої залишаються з вами навіть після того, як ви відкладете книгу.

Якщо вам сподобався фільм ""Крах"", вам сподобається цей"	pos
